[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-11, Y:0, Z:-19]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-12, Y:0, Z:-20]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-13, Y:0, Z:-21]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-14, Y:0, Z:-22]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-15, Y:0, Z:-23]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-16, Y:0, Z:-24]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-17, Y:0, Z:-25]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-18, Y:0, Z:-26]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-19, Y:0, Z:-27]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-20, Y:0, Z:-28]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-21, Y:0, Z:-29]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-22, Y:0, Z:-30]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-23, Y:1, Z:-30]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-24, Y:2, Z:-30]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-25, Y:3, Z:-30]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-26, Y:4, Z:-30]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-27, Y:5, Z:-30]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-28, Y:6, Z:-30]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-29, Y:7, Z:-30]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-30, Y:8, Z:-30]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-30, Y:9, Z:-30]
[22:26:59.822] [T1] [DS=False] DEBUG |  -> [X:-30, Y:10, Z:-30]
[22:27:00.105] [T1] [DS=False] DEBUG | Path to target:
[22:27:00.105] [T1] [DS=False] DEBUG |  -> [X:4, Y:3, Z:25]
[22:27:00.105] [T1] [DS=False] DEBUG |  -> [X:4, Y:3, Z:26]
[22:27:00.105] [T1] [DS=False] DEBUG |  -> [X:4, Y:3, Z:27]
[22:27:00.122] [T1] [DS=False] DEBUG | Path to target:
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:3, Y:0, Z:-5]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:2, Y:0, Z:-6]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:1, Y:1, Z:-6]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:0, Y:1, Z:-6]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:-1, Y:1, Z:-6]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:-2, Y:2, Z:-6]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:-3, Y:3, Z:-6]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:-4, Y:3, Z:-6]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:-5, Y:4, Z:-6]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:-6, Y:5, Z:-6]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:-6, Y:6, Z:-6]
[22:27:00.122] [T1] [DS=False] DEBUG |  -> [X:-6, Y:7, Z:-6]
[22:27:00.291] [T1] [DS=False] DEBUG | Path to target:
[22:27:00.291] [T1] [DS=False] DEBUG |  -> [X:3, Y:3, Z:25]
[22:27:00.291] [T1] [DS=False] DEBUG |  -> [X:3, Y:3, Z:26]
[22:27:00.291] [T1] [DS=False] DEBUG |  -> [X:3, Y:3, Z:27]
[22:27:00.622] [T1] [DS=False] DEBUG | Path to target:
[22:27:00.622] [T1] [DS=False] DEBUG |  -> [X:3, Y:3, Z:25]
[22:27:00.622] [T1] [DS=False] DEBUG |  -> [X:3, Y:3, Z:26]
